New Run at  07/13/2017 20:13:27
, Time, RandomReward; N_LinUCBReward; 
data,1272664800000,18;3963;71
data,1272664800000,18;3698;71
data,1272664800000,18;548;71
data,1272664800000,18;6023;71
data,1272664800000,18;4887;71
data,1272664800000,18;154;71
data,1272664800000,18;1062;71
data,1272664800000,18;6077;71
data,1272664800000,18;6093;71
data,1272664800000,18;125;71
data,1272664800000,18;6119;71
data,1272664800000,18;6131;71
data,1272664800000,18;4891;71
data,1272664800000,18;3872;71
data,1272664800000,18;24;71
data,1272664800000,18;5792;71
data,1272664800000,18;6188;71
data,1272664800000,18;6208;71
data,1272664800000,18;997;71
data,1272664800000,19;5256;71
data,1272664800000,19;6246;71
data,1272664800000,19;1710;71
data,1272664800000,19;1317;71
data,1272664800000,19;6285;71
data,1272664800000,19;1704;72
data,1272664800000,19;5067;72
data,1272664800000,19;1083;73
data,1272664800000,19;6323;74
data,1275343200000,19;596;74
data,1275343200000,19;6359;74
data,1277935200000,19;3831;74
data,1277935200000,19;3810;74
data,1280613600000,19;6403;74
data,1280613600000,19;1474;74
data,1280613600000,19;6422;75
data,1280613600000,19;4715;75
data,1280613600000,19;4138;75
data,1280613600000,19;4876;75
data,1280613600000,19;6478;75
data,1280613600000,19;6482;76
data,1280613600000,19;5055;76
data,1280613600000,19;6511;76
data,1280613600000,19;2120;77
data,1280613600000,19;6537;77
data,1280613600000,19;5450;77
data,1280613600000,19;6561;78
data,1283292000000,19;3312;78
data,1285884000000,19;4887;78
data,1285884000000,19;6604;78
data,1285884000000,19;6615;79
data,1285884000000,19;6625;80
data,1285884000000,19;6636;81
data,1285884000000,19;1836;82
data,1285884000000,19;6656;83
data,1285884000000,19;6673;83
data,1285884000000,19;2716;83
data,1285884000000,19;2147;83
data,1285884000000,19;3475;83
data,1285884000000,19;6714;84
data,1285884000000,19;918;84
data,1285884000000,19;6736;84
data,1285884000000,19;6743;84
data,1285884000000,20;541;85
data,1288566000000,20;869;85
data,1288566000000,20;6777;86
data,1288566000000,20;6790;86
data,1288566000000,20;1499;86
data,1288566000000,20;6814;86
data,1288566000000,20;6837;86
data,1288566000000,20;2358;86
data,1288566000000,20;2681;87
data,1291158000000,20;3818;87
data,1291158000000,20;2251;87
data,1291158000000,20;6887;88
data,1291158000000,20;6907;88
data,1291158000000,20;5068;88
data,1291158000000,20;6929;88
data,1291158000000,20;2953;88
data,1291158000000,20;6950;88
data,1291158000000,20;2377;88
data,1291158000000,21;4190;88
data,1291158000000,21;3231;89
data,1291158000000,21;6996;90
data,1291158000000,21;2737;91
data,1291158000000,21;7026;91
data,1291158000000,21;371;91
data,1291158000000,21;7057;91
data,1291158000000,21;7058;92
data,1291158000000,21;3373;92
data,1291158000000,21;2355;93
data,1291158000000,21;3899;93
data,1291158000000,21;7111;94
data,1293836400000,21;7127;94
data,1293836400000,21;7144;94
data,1293836400000,21;7155;94
data,1293836400000,21;7160;95
data,1293836400000,21;7111;96
data,1293836400000,21;7183;96
data,1293836400000,21;7196;96
data,1293836400000,21;327;96
data,1293836400000,21;7211;97
data,1293836400000,21;3860;97
data,1293836400000,21;2706;97
data,1293836400000,21;7246;98
data,1293836400000,21;7260;98
data,1293836400000,21;3144;99
data,1293836400000,21;7278;99
data,1293836400000,21;1901;99
data,1293836400000,21;2380;99
data,1293836400000,21;1322;99
data,1293836400000,21;5048;99
data,1296514800000,21;899;99
data,1296514800000,21;7327;100
data,1298934000000,21;3438;100
data,1298934000000,21;7350;100
data,1298934000000,21;3860;100
data,1298934000000,21;7378;100
data,1304596135526,21;3523;100
data,1212271200000,21;4896;100
data,1212271200000,21;7410;100
data,1212271200000,21;7426;100
data,1212271200000,21;6595;100
data,1212271200000,21;7441;100
data,1212271200000,21;7460;100
data,1212271200000,22;7466;100
data,1212271200000,22;7472;101
data,1212271200000,22;1437;101
data,1212271200000,22;7495;102
data,1212271200000,22;4551;103
data,1212271200000,22;7515;103
data,1212271200000,22;7140;104
data,1212271200000,22;4165;105
data,1212271200000,23;2763;106
data,1212271200000,23;7544;106
data,1212271200000,23;7556;106
data,1212271200000,23;7566;107
data,1212271200000,23;5192;108
data,1212271200000,23;5851;108
data,1212271200000,23;1639;109
data,1212271200000,23;7605;110
data,1212271200000,23;1020;111
data,1212271200000,23;7624;112
data,1212271200000,23;7643;112
data,1212271200000,23;3442;113
data,1212271200000,23;4207;113
data,1212271200000,23;6242;113
data,1212271200000,23;6772;113
data,1212271200000,24;7677;114
data,1212271200000,25;4497;115
data,1212271200000,25;5358;115
data,1212271200000,25;2927;116
data,1212271200000,25;6667;117
data,1212271200000,25;7716;118
data,1212271200000,25;322;119
data,1212271200000,25;7735;120
data,1212271200000,25;6232;120
data,1212271200000,25;7754;121
data,1212271200000,25;2362;121
data,1212271200000,25;7775;122
data,1212271200000,25;5930;123
data,1212271200000,25;2266;124
data,1212271200000,25;5490;125
data,1212271200000,25;2991;125
data,1212271200000,25;5795;126
data,1212271200000,25;6467;126
data,1214863200000,25;7848;126
data,1214863200000,25;1302;127
data,1214863200000,25;7168;127
data,1214863200000,25;3335;127
data,1214863200000,25;7883;127
data,1217541600000,25;7892;127
