New Run at  07/13/2017 20:06:14
, Time, RandomReward; Master_UniformLCBReward; 
data,1264978800000,6;5853;37
data,1264978800000,6;639;38
data,1264978800000,6;3449;39
data,1264978800000,6;5890;39
data,1264978800000,6;5903;39
data,1264978800000,6;5923;39
data,1264978800000,6;5943;39
data,1264978800000,6;5947;39
data,1264978800000,6;5972;39
data,1264978800000,6;5978;40
data,1264978800000,6;5972;40
data,1264978800000,6;6018;40
data,1264978800000,7;6021;41
data,1264978800000,7;6045;41
data,1264978800000,7;666;41
data,1264978800000,7;3727;41
data,1264978800000,7;3803;41
data,1264978800000,7;1953;41
data,1264978800000,7;6104;41
data,1264978800000,7;6106;42
data,1264978800000,7;6116;43
data,1264978800000,7;6125;44
data,1264978800000,7;6141;45
data,1264978800000,7;6159;46
data,1264978800000,7;4258;47
data,1264978800000,7;5661;47
data,1264978800000,7;6199;48
data,1264978800000,7;4570;48
data,1264978800000,7;6230;48
data,1264978800000,7;3626;49
data,1264978800000,8;3794;49
data,1264978800000,8;4471;49
data,1264978800000,8;5594;49
data,1264978800000,8;915;50
data,1264978800000,8;6300;51
data,1264978800000,8;6310;52
data,1264978800000,8;1778;52
data,1264978800000,8;1331;52
data,1264978800000,8;670;53
data,1264978800000,8;6359;54
data,1264978800000,8;111;55
data,1264978800000,8;6398;55
data,1264978800000,8;541;55
data,1264978800000,8;6417;55
data,1264978800000,8;3819;55
data,1264978800000,8;6188;55
data,1264978800000,8;4722;55
data,1264978800000,8;6464;55
data,1264978800000,8;6477;55
data,1264978800000,8;6488;55
data,1264978800000,8;1597;55
data,1264978800000,8;2174;56
data,1264978800000,8;1613;56
data,1264978800000,8;6534;56
data,1264978800000,8;3298;56
data,1264978800000,8;6088;56
data,1264978800000,8;6575;57
data,1264978800000,8;4500;57
data,1264978800000,8;4000;58
data,1264978800000,8;5481;58
data,1264978800000,8;6620;59
data,1264978800000,8;6641;59
data,1264978800000,8;4479;59
data,1264978800000,8;2199;59
data,1264978800000,8;2735;60
data,1264978800000,8;5086;60
data,1264978800000,8;6701;60
data,1264978800000,9;6179;60
data,1264978800000,9;6717;61
data,1264978800000,9;78;61
data,1264978800000,9;6751;61
data,1264978800000,9;6766;61
data,1264978800000,9;6768;62
data,1264978800000,9;6781;62
data,1264978800000,9;1880;62
data,1264978800000,9;1883;62
data,1264978800000,10;513;63
data,1264978800000,10;6824;63
data,1264978800000,10;6066;63
data,1264978800000,10;5989;63
