New Run at  08/09/2018 10:38:00
, Time, RandomReward; dLinUCB_Likelihood_UniformReward, ClusterID;UserID;dLinUCB_Likelihood_UniformModelUsed,
data,1193871600000,3;3912;20.0,0;8;1
data,1193871600000,3;2588;20.0,0;8;1
data,1193871600000,3;3962;20.0,0;8;1
data,1193871600000,4;3978;20.0,0;8;1
data,1193871600000,4;2637;20.0,0;8;1
data,1193871600000,4;4009;20.0,0;8;1
data,1193871600000,4;4031;20.0,0;8;1
data,1193871600000,5;4048;20.0,0;8;1
data,1193871600000,5;4068;20.0,0;8;1
data,1196463600000,5;4086;20.0,0;8;1
data,1199142000000,5;2647;20.0,0;8;1
data,1207000800000,5;4100;21.0,0;8;1
data,1207000800000,5;4100;22.0,0;8;1
data,1209592800000,5;4153;22.0,0;8;1
data,1209592800000,5;2763;22.0,0;8;1
data,1209592800000,5;4182;22.0,0;8;1
data,1209592800000,5;4190;23.0,0;8;1
data,1209592800000,6;3037;23.0,0;8;1
data,1209592800000,7;4224;24.0,0;8;1
data,1209592800000,7;4247;24.0,0;8;1
data,1209592800000,7;4258;25.0,0;8;1
data,1209592800000,7;4272;25.0,0;8;1
data,1209592800000,7;4290;26.0,0;8;1
data,1209592800000,7;2451;26.0,0;8;1
data,1209592800000,7;3500;26.0,0;8;1
data,1209592800000,7;4349;26.0,0;8;1
data,1209592800000,7;847;26.0,0;8;1
data,1209592800000,7;3722;26.0,0;8;1
data,1209592800000,7;4396;26.0,0;8;1
data,1209592800000,7;4416;26.0,0;8;1
data,1209592800000,7;4418;26.0,0;8;1
data,1209592800000,7;4434;27.0,0;8;1
data,1209592800000,7;1136;27.0,0;8;1
data,1209592800000,7;3794;28.0,0;8;1
data,1209592800000,7;4479;28.0,0;8;1
data,1209592800000,7;4501;28.0,0;8;1
data,1209592800000,7;4521;28.0,0;8;1
data,1209592800000,7;4522;29.0,0;8;1
data,1209592800000,7;4547;29.0,0;8;1
data,1209592800000,7;4570;29.0,0;8;1
data,1209592800000,7;4584;29.0,0;8;1
data,1209592800000,7;3439;29.0,0;8;1
data,1209592800000,7;4610;29.0,0;8;1
data,1209592800000,7;1480;29.0,0;8;1
data,1209592800000,7;2199;29.0,0;8;1
data,1209592800000,7;4668;29.0,0;8;1
data,1209592800000,8;4674;29.0,0;8;1
data,1209592800000,8;397;29.0,0;8;1
data,1209592800000,8;4722;29.0,0;8;1
data,1209592800000,8;111;30.0,0;8;1
data,1209592800000,8;2724;30.0,0;8;1
data,1209592800000,8;2415;30.0,0;8;1
data,1209592800000,8;4776;30.0,0;8;1
data,1209592800000,8;1183;30.0,0;8;1
data,1209592800000,8;1964;30.0,0;8;1
data,1209592800000,8;4830;30.0,0;8;1
data,1209592800000,8;4840;30.0,0;8;1
data,1209592800000,8;346;30.0,0;8;1
data,1209592800000,8;4100;31.0,0;8;1
data,1209592800000,8;4881;31.0,0;8;1
data,1209592800000,8;4896;31.0,0;8;1
data,1209592800000,8;4645;31.0,0;8;1
data,1209592800000,8;2016;31.0,0;8;1
data,1212271200000,8;4927;32.0,0;8;1
data,1285884000000,8;4946;32.0,0;8;1
data,1291158000000,9;842;32.0,0;8;1
data,1172703600000,10;4972;32.0,0;9;1
data,1185919200000,10;4986;32.0,0;9;1
data,1185919200000,11;3045;32.0,0;9;1
data,1185919200000,11;5013;32.0,0;9;1
data,1185919200000,11;5029;32.0,0;9;1
data,1185919200000,11;935;33.0,0;9;1
data,1185919200000,12;5075;33.0,0;9;1
data,1201820400000,12;5086;33.0,0;9;1
data,1201820400000,12;2832;33.0,0;9;1
data,1201820400000,12;5119;33.0,0;9;1
data,1207000800000,12;5129;33.0,0;9;1
data,1209592800000,12;5149;33.0,0;9;1
data,1220220000000,12;2454;33.0,0;9;1
data,1222812000000,12;3196;33.0,0;9;1
data,1225494000000,12;4840;33.0,0;10;1
data,1235862000000,12;5200;33.0,0;10;1
data,1238536800000,12;5225;33.0,0;10;1
data,1241128800000,12;3280;33.0,0;10;1
data,1243807200000,12;5248;33.0,0;10;1
data,1243807200000,12;1331;33.0,0;10;1
data,1243807200000,12;5287;33.0,0;10;1
data,1243807200000,12;5303;33.0,0;10;1
data,1243807200000,12;5305;33.0,0;10;1
data,1243807200000,12;1437;33.0,0;10;1
data,1243807200000,12;1285;33.0,0;10;1
data,1243807200000,12;5353;33.0,0;10;1
data,1243807200000,12;5364;33.0,0;10;1
data,1243807200000,12;1605;33.0,0;10;1
data,1243807200000,12;5393;33.0,0;10;1
data,1243807200000,12;5400;33.0,0;10;1
data,1243807200000,12;5414;33.0,0;10;1
data,1246399200000,12;5430;33.0,0;10;1
data,1249077600000,12;4024;33.0,0;10;1
data,1249077600000,12;3266;33.0,0;10;1
data,1262300400000,12;5479;33.0,0;10;1
data,1264978800000,12;2199;33.0,0;11;1
data,1264978800000,12;5501;33.0,0;11;1
data,1264978800000,12;5513;33.0,0;11;1
data,1264978800000,12;4416;33.0,0;11;1
data,1264978800000,12;2043;34.0,0;11;1
data,1264978800000,12;4048;35.0,0;11;1
data,1264978800000,12;257;35.0,0;11;1
data,1264978800000,12;5594;35.0,0;11;1
data,1264978800000,12;5614;35.0,0;11;1
data,1264978800000,12;2455;35.0,0;11;1
data,1264978800000,12;5504;35.0,0;11;1
data,1264978800000,12;5653;35.0,0;11;1
data,1264978800000,12;4434;36.0,0;11;1
data,1264978800000,12;5264;36.0,0;11;1
data,1264978800000,12;5691;36.0,0;11;1
data,1264978800000,12;4986;36.0,0;11;1
data,1264978800000,12;5715;36.0,0;11;1
data,1264978800000,13;5722;36.0,0;11;1
data,1264978800000,13;482;36.0,0;11;1
data,1264978800000,13;5757;36.0,0;11;1
data,1264978800000,13;4479;36.0,0;11;1
data,1264978800000,13;5773;36.0,0;11;1
data,1264978800000,13;5783;37.0,0;11;1
data,1264978800000,13;5808;37.0,0;11;1
data,1264978800000,13;4489;37.0,0;11;1
data,1264978800000,13;5842;37.0,0;11;1
data,1264978800000,13;5853;37.0,0;11;1
data,1264978800000,13;639;38.0,0;11;1
data,1264978800000,13;3449;39.0,0;11;1
data,1264978800000,13;5890;39.0,0;11;1
data,1264978800000,13;5903;39.0,0;11;1
data,1264978800000,13;5923;39.0,0;11;1
data,1264978800000,13;5943;39.0,0;11;1
data,1264978800000,13;5947;39.0,0;11;1
data,1264978800000,13;5972;39.0,0;11;1
data,1264978800000,13;5978;40.0,0;11;1
data,1264978800000,13;5972;40.0,0;11;1
data,1264978800000,13;6018;40.0,0;11;1
data,1264978800000,13;6021;41.0,0;11;1
data,1264978800000,13;6045;41.0,0;11;1
data,1264978800000,13;666;41.0,0;11;1
data,1264978800000,13;3727;41.0,0;11;1
data,1264978800000,13;3803;41.0,0;11;1
data,1264978800000,13;1953;41.0,0;11;1
data,1264978800000,13;6104;41.0,0;11;1
data,1264978800000,13;6106;42.0,0;11;1
data,1264978800000,13;6116;43.0,0;11;1
data,1264978800000,13;6125;44.0,0;11;1
data,1264978800000,13;6141;45.0,0;11;1
data,1264978800000,13;6159;46.0,0;11;1
data,1264978800000,13;4258;47.0,0;11;1
data,1264978800000,13;5661;47.0,0;11;1
data,1264978800000,13;6199;48.0,0;11;1
data,1264978800000,13;4570;48.0,0;11;1
data,1264978800000,14;6230;48.0,0;11;1
data,1264978800000,15;3626;49.0,0;11;1
data,1264978800000,15;3794;49.0,0;11;1
data,1264978800000,15;4471;49.0,0;11;1
data,1264978800000,15;5594;49.0,0;11;1
data,1264978800000,15;915;50.0,0;11;1
data,1264978800000,15;6300;51.0,0;11;1
data,1264978800000,15;6310;52.0,0;11;1
data,1264978800000,15;1778;52.0,0;11;1
data,1264978800000,15;1331;52.0,0;11;1
data,1264978800000,15;670;53.0,0;11;1
data,1264978800000,15;6359;54.0,0;11;1
data,1264978800000,15;111;55.0,0;11;1
data,1264978800000,15;6398;55.0,0;11;1
data,1264978800000,15;541;55.0,0;11;1
data,1264978800000,15;6417;55.0,0;11;1
data,1264978800000,15;3819;55.0,0;11;1
data,1264978800000,15;6188;55.0,0;11;1
data,1264978800000,15;4722;55.0,0;11;1
data,1264978800000,15;6464;55.0,0;11;1
data,1264978800000,15;6477;55.0,0;11;1
data,1264978800000,15;6488;55.0,0;11;1
data,1264978800000,15;1597;55.0,0;11;1
data,1264978800000,15;2174;56.0,0;11;1
data,1264978800000,15;1613;56.0,0;11;1
data,1264978800000,15;6534;56.0,0;11;1
data,1264978800000,15;3298;56.0,0;11;1
data,1264978800000,15;6088;56.0,0;11;1
data,1264978800000,15;6575;57.0,0;11;1
data,1264978800000,15;4500;57.0,0;11;1
data,1264978800000,15;4000;58.0,0;11;1
data,1264978800000,15;5481;58.0,0;11;1
data,1264978800000,15;6620;59.0,0;11;1
data,1264978800000,15;6641;59.0,0;11;1
data,1264978800000,15;4479;59.0,0;11;1
data,1264978800000,15;2199;59.0,0;11;1
data,1264978800000,15;2735;60.0,0;11;1
data,1264978800000,15;5086;60.0,0;11;1
data,1264978800000,15;6701;60.0,0;11;1
data,1264978800000,15;6179;60.0,0;11;1
data,1264978800000,16;6717;61.0,0;11;1
data,1264978800000,16;78;61.0,0;11;1
data,1264978800000,16;6751;61.0,0;11;1
data,1264978800000,16;6766;61.0,0;11;1
data,1264978800000,16;6768;62.0,0;11;1
