New Run at  08/08/2018 22:53:11
, Time, RandomReward; M_LinUCBReward, ClusterID;UserID;M_LinUCBModelUsed,
data,1209592800000,11;4522;29.0,122;8
data,1209592800000,12;1279;30.0,122;8
data,1209592800000,12;2013;30.0,122;8
data,1209592800000,12;4580;30.0,122;8
data,1209592800000,12;3743;31.0,122;8
data,1209592800000,12;4610;31.0,122;8
data,1209592800000,12;4637;31.0,122;8
data,1209592800000,12;4642;32.0,122;8
data,1209592800000,12;4272;32.0,122;8
data,1209592800000,12;4674;32.0,122;8
data,1209592800000,12;4695;32.0,122;8
data,1209592800000,12;888;32.0,122;8
data,1209592800000,12;4729;32.0,122;8
data,1209592800000,12;4739;32.0,122;8
data,1209592800000,12;4754;33.0,122;8
data,1209592800000,12;971;33.0,122;8
data,1209592800000,12;4789;34.0,122;8
data,1209592800000,12;4814;34.0,122;8
data,1209592800000,12;4830;34.0,122;8
data,1209592800000,12;4837;34.0,122;8
data,1209592800000,12;2630;34.0,122;8
data,1209592800000,12;4100;35.0,122;8
data,1209592800000,12;4882;35.0,122;8
data,1209592800000,12;4887;35.0,122;8
data,1209592800000,12;3625;35.0,122;8
data,1209592800000,12;3415;36.0,122;8
data,1212271200000,12;4927;37.0,122;8
data,1285884000000,12;4947;37.0,122;8
data,1291158000000,12;842;37.0,122;8
data,1172703600000,12;3738;37.0,80;9
data,1185919200000,12;4986;37.0,80;9
data,1185919200000,12;210;37.0,80;9
data,1185919200000,12;5023;37.0,80;9
data,1185919200000,12;2427;37.0,80;9
data,1185919200000,12;5053;37.0,80;9
data,1185919200000,12;787;37.0,80;9
data,1201820400000,12;5076;37.0,80;9
data,1201820400000,13;229;37.0,80;9
data,1201820400000,13;5116;37.0,80;9
data,1207000800000,13;4891;37.0,80;9
data,1209592800000,13;4066;37.0,80;9
data,1220220000000,13;5162;37.0,80;9
data,1222812000000,13;3196;37.0,80;9
data,1225494000000,13;5192;37.0,28;10
data,1235862000000,13;5197;37.0,28;10
data,1238536800000,13;5230;37.0,28;10
data,1241128800000,13;3280;37.0,28;10
data,1243807200000,13;1623;37.0,28;10
data,1243807200000,13;5264;37.0,28;10
data,1243807200000,13;5287;37.0,28;10
data,1243807200000,13;5298;37.0,28;10
data,1243807200000,13;1664;37.0,28;10
data,1243807200000,13;5331;37.0,28;10
data,1243807200000,13;5333;37.0,28;10
data,1243807200000,13;5357;37.0,28;10
data,1243807200000,13;5369;37.0,28;10
data,1243807200000,13;5376;37.0,28;10
data,1243807200000,13;2435;37.0,28;10
data,1243807200000,13;5408;37.0,28;10
data,1243807200000,13;5424;37.0,28;10
data,1246399200000,13;5428;37.0,28;10
data,1249077600000,13;5444;37.0,28;10
data,1249077600000,13;5451;37.0,28;10
data,1262300400000,14;5471;37.0,28;10
data,1264978800000,14;334;37.0,37;11
data,1264978800000,14;5504;37.0,37;11
data,1264978800000,14;5527;37.0,37;11
data,1264978800000,14;5535;37.0,37;11
data,1264978800000,14;5551;37.0,37;11
data,1264978800000,14;5571;37.0,37;11
