New Run at  07/13/2017 15:50:07
, Time, RandomReward; Master_UniformLCBReward; 
data,1298934000000,37;516;160
data,1298934000000,37;1205;160
data,1298934000000,37;516;161
data,1298934000000,37;245;162
data,1298934000000,37;5224;163
data,1298934000000,37;3127;164
data,1298934000000,37;8435;165
data,1298934000000,37;5358;165
data,1298934000000,37;3127;166
data,1298934000000,37;5224;167
data,1298934000000,37;516;168
data,1298934000000,38;1016;169
data,1298934000000,38;3127;170
data,1298934000000,38;4958;171
data,1298934000000,38;3442;172
data,1298934000000,38;3119;172
data,1298934000000,38;8435;173
data,1298934000000,38;4958;174
data,1298934000000,38;8435;175
data,1298934000000,38;3578;175
data,1298934000000,38;8880;175
data,1298934000000,38;6008;176
data,1298934000000,38;6008;177
data,1298934000000,38;9367;178
data,1298934000000,38;3127;179
data,1298934000000,38;8435;180
data,1298934000000,38;2349;180
data,1298934000000,38;245;181
data,1298934000000,38;245;182
data,1298934000000,38;6999;183
data,1298934000000,38;5718;184
data,1298934000000,38;3127;185
data,1298934000000,38;3998;185
data,1298934000000,39;516;186
data,1298934000000,39;516;187
data,1298934000000,39;9082;188
data,1298934000000,39;8435;189
data,1298934000000,39;1016;190
data,1298934000000,39;7197;191
data,1298934000000,39;9082;192
data,1304596429856,39;7430;193
data,1304596429049,39;3688;193
data,1304596429840,39;2267;193
data,1304596429340,39;7430;194
data,1304596429357,39;9653;195
data,1304596429273,39;4108;195
data,1304596429090,39;9063;195
data,1304596429027,39;2111;196
data,1304596429182,40;168;197
data,1304596429124,40;6537;197
data,1304596429232,40;7848;197
data,1304596429074,40;3014;197
data,1304596429107,40;9695;198
data,1304596432786,40;1639;198
data,1304596432553,40;9695;199
data,1304596432678,40;777;199
data,1304596432586,40;5839;199
data,1304596432770,40;7430;200
data,1304596432803,40;6492;201
data,1304596432645,40;5795;201
data,1304596432537,40;3275;202
data,1304596432517,40;2111;203
data,1304596432720,40;6702;204
data,1304596433427,41;6999;205
data,1304596433585,41;9367;206
data,1304596433519,41;9771;206
data,1304596433535,41;516;207
data,1304596433444,41;1843;207
data,1304596433477,41;5470;208
data,1304596433552,41;6702;209
data,1304596433461,41;3025;209
data,1304596433410,41;2111;210
data,1304596433569,42;5718;211
data,1304596433610,42;8435;212
data,1304596433502,42;3127;213
data,1304596433627,42;7775;213
data,1304596435600,42;6456;213
data,1304596435733,42;9837;213
data,1304596435617,42;9842;213
data,1304596435533,42;1744;213
data,1304596435658,42;6702;214
data,1304596435708,42;7430;215
data,1304596435492,42;3275;216
data,1304596436275,42;1350;216
data,1304596437731,42;4497;216
data,1304596437839,42;5358;216
data,1304596437806,42;5470;217
data,1304596437709,42;2111;218
data,1304596437773,42;4215;218
data,1304596437914,42;7430;219
data,1304596437823,42;4160;219
data,1304596438039,42;6702;220
data,1304596438097,42;9653;221
data,1304596438988,42;2111;222
data,1304596439121,42;7430;223
data,1304596439063,42;6702;224
data,1304596439030,42;9180;225
data,1304596439706,42;6702;226
data,1304596439046,42;6999;227
