New Run at  07/24/2017 14:49:10
, Time, RandomReward; UniformAdTSReward; 
data,1267398000000,15;5256;37
data,1267398000000,15;327;37
data,1267398000000,15;5809;37
data,1267398000000,15;11;38
data,1267398000000,15;593;38
data,1267398000000,15;2889;39
data,1267398000000,15;5855;39
data,1267398000000,16;5869;39
data,1267398000000,16;5879;39
data,1267398000000,16;5897;39
data,1267398000000,16;5904;39
data,1270072800000,16;5915;40
data,1270072800000,16;1657;40
data,1272664800000,16;5946;40
data,1272664800000,16;3045;41
data,1272664800000,16;3963;41
data,1272664800000,16;3698;41
data,1272664800000,17;6016;41
data,1272664800000,17;2800;41
data,1272664800000,17;4887;41
data,1272664800000,17;1423;41
data,1272664800000,17;3302;42
data,1272664800000,17;1550;43
data,1272664800000,17;4933;43
data,1272664800000,17;5207;43
data,1272664800000,17;6119;43
data,1272664800000,17;6136;43
data,1272664800000,17;6137;43
data,1272664800000,17;3872;43
data,1272664800000,17;6161;43
data,1272664800000,17;5792;43
data,1272664800000,17;6188;43
data,1272664800000,17;6208;43
data,1272664800000,17;3410;43
data,1272664800000,17;5256;43
data,1272664800000,17;6246;43
data,1272664800000,17;1710;43
data,1272664800000,17;1317;43
data,1272664800000,17;6285;43
data,1272664800000,17;1704;44
data,1272664800000,17;6307;44
data,1272664800000,17;1083;45
data,1272664800000,17;6323;46
data,1275343200000,17;3696;46
data,1275343200000,17;961;46
data,1277935200000,17;1696;47
data,1277935200000,17;3810;47
data,1280613600000,17;6403;47
data,1280613600000,17;6412;47
data,1280613600000,18;6422;48
data,1280613600000,18;4715;48
data,1280613600000,18;6451;48
data,1280613600000,19;6443;48
data,1280613600000,19;6477;48
data,1280613600000,19;1197;48
data,1280613600000,19;3119;48
data,1280613600000,19;6511;48
data,1280613600000,19;6521;48
data,1280613600000,19;6537;48
data,1280613600000,19;5450;48
data,1280613600000,19;6561;49
data,1283292000000,19;3312;49
data,1285884000000,20;4887;49
data,1285884000000,20;6604;49
data,1285884000000,20;6615;50
data,1285884000000,20;6625;51
data,1285884000000,20;6637;51
data,1285884000000,20;6652;51
data,1285884000000,20;6656;52
data,1285884000000,20;669;52
data,1285884000000,20;6682;52
data,1285884000000,20;2147;52
data,1285884000000,20;645;52
data,1285884000000,20;6714;53
data,1285884000000,20;6728;53
data,1285884000000,20;6735;53
data,1285884000000,20;6751;53
data,1285884000000,20;5143;53
data,1288566000000,20;869;53
data,1288566000000,20;6777;54
data,1288566000000,20;6788;55
data,1288566000000,20;3065;55
data,1288566000000,20;6814;55
data,1288566000000,20;6822;56
data,1288566000000,20;6839;57
data,1288566000000,20;2681;58
data,1291158000000,20;3818;58
data,1291158000000,20;6874;59
data,1291158000000,20;6887;60
data,1291158000000,20;2818;60
data,1291158000000,20;6920;60
data,1291158000000,20;6929;60
data,1291158000000,20;4944;60
data,1291158000000,20;2675;60
data,1291158000000,20;2377;60
data,1291158000000,20;4190;60
data,1291158000000,20;3231;61
data,1291158000000,20;6997;61
data,1291158000000,20;2737;62
data,1291158000000,20;7031;62
data,1291158000000,20;5145;62
data,1291158000000,21;1820;62
data,1291158000000,21;7058;63
data,1291158000000,21;3373;63
data,1291158000000,21;2355;64
data,1291158000000,21;7110;64
data,1291158000000,21;7111;65
data,1293836400000,21;7127;65
data,1293836400000,21;7148;65
data,1293836400000,21;7149;66
data,1293836400000,21;7166;66
data,1293836400000,21;7111;67
data,1293836400000,22;7183;67
data,1293836400000,22;7193;67
data,1293836400000,22;3776;67
data,1293836400000,22;7217;67
data,1293836400000,23;7232;67
data,1293836400000,23;1563;68
data,1293836400000,23;7256;68
data,1293836400000,23;4814;68
data,1293836400000,23;6439;68
data,1293836400000,23;7277;69
data,1293836400000,23;1901;69
data,1293836400000,23;2380;69
data,1293836400000,23;3100;69
data,1293836400000,23;5218;69
data,1296514800000,23;2396;69
data,1296514800000,23;6302;69
data,1298934000000,23;7342;69
data,1298934000000,23;7350;69
data,1298934000000,23;7364;69
data,1298934000000,23;7379;69
data,1304596135526,23;4234;69
data,1212271200000,23;7399;69
data,1212271200000,23;5781;69
data,1212271200000,23;1789;69
data,1212271200000,23;7356;69
data,1212271200000,23;7438;69
data,1212271200000,23;7459;69
data,1212271200000,23;3888;69
data,1212271200000,23;7484;69
data,1212271200000,23;7487;69
data,1212271200000,23;7410;69
data,1212271200000,23;3410;69
data,1212271200000,23;7515;69
data,1212271200000,23;7521;69
data,1212271200000,23;7531;69
data,1212271200000,23;7160;69
data,1212271200000,23;7546;69
data,1212271200000,23;2251;69
data,1212271200000,23;7570;69
data,1212271200000,23;7160;69
data,1212271200000,23;4495;69
data,1212271200000,23;4236;69
data,1212271200000,23;3243;69
data,1212271200000,23;4645;69
data,1212271200000,23;7626;69
data,1212271200000,23;7611;69
data,1212271200000,23;4237;69
data,1212271200000,23;7356;69
data,1212271200000,23;6302;69
data,1212271200000,23;4237;69
data,1212271200000,23;669;69
data,1212271200000,23;7684;69
data,1212271200000,23;7696;69
data,1212271200000,23;6183;69
data,1212271200000,23;3469;69
data,1212271200000,23;993;69
data,1212271200000,23;7725;69
data,1212271200000,23;1115;69
data,1212271200000,23;6470;69
data,1212271200000,23;7759;69
data,1212271200000,23;7771;69
data,1212271200000,23;4887;69
data,1212271200000,23;781;69
data,1212271200000,23;7160;69
data,1212271200000,23;6673;69
data,1212271200000,23;7813;69
data,1212271200000,23;6814;69
data,1212271200000,23;7841;69
data,1214863200000,23;7852;69
data,1214863200000,23;7854;69
data,1214863200000,23;5114;69
data,1214863200000,23;3902;69
data,1214863200000,23;7886;69
data,1217541600000,23;5622;69
data,1217541600000,23;6996;69
data,1217541600000,23;6511;69
data,1217541600000,23;7921;69
data,1217541600000,23;6568;69
data,1217541600000,23;1836;69
data,1217541600000,24;6604;69
data,1217541600000,24;4854;69
data,1217541600000,24;4323;69
data,1217541600000,24;3398;69
data,1217541600000,24;7994;69
data,1217541600000,24;5863;69
data,1217541600000,24;8006;69
data,1217541600000,24;2343;69
data,1217541600000,24;8024;69
data,1217541600000,24;7742;69
data,1217541600000,24;2119;69
data,1217541600000,24;3466;69
data,1217541600000,24;4425;69
data,1217541600000,24;6574;69
data,1217541600000,24;1241;69
data,1217541600000,24;4886;69
data,1217541600000,24;8101;69
data,1217541600000,24;3320;69
data,1217541600000,24;3823;69
data,1217541600000,24;8126;69
data,1217541600000,24;1823;69
data,1217541600000,24;8139;69
data,1217541600000,24;8150;69
data,1217541600000,24;1515;69
data,1217541600000,24;244;69
data,1217541600000,24;4792;69
data,1217541600000,24;1563;69
data,1217541600000,24;8192;69
data,1217541600000,24;8196;69
data,1217541600000,24;4324;69
data,1217541600000,24;2689;69
data,1217541600000,24;8235;69
data,1217541600000,24;5256;69
data,1217541600000,24;8253;69
data,1217541600000,24;5396;69
data,1217541600000,24;8267;69
data,1217541600000,24;6779;69
data,1217541600000,24;6779;69
data,1217541600000,24;8299;69
data,1217541600000,24;3860;69
data,1217541600000,24;8321;69
data,1217541600000,24;8324;69
data,1217541600000,24;3312;69
data,1217541600000,25;8354;69
data,1217541600000,25;8363;69
data,1217541600000,25;8381;69
data,1217541600000,25;361;69
data,1217541600000,25;731;69
data,1217541600000,25;5064;69
data,1217541600000,25;8417;69
data,1217541600000,25;8418;69
data,1217541600000,25;7423;69
data,1217541600000,25;4891;69
data,1220220000000,25;2989;69
data,1304596176284,25;8457;69
data,1304596177553,25;4682;69
data,1304596187726,25;8473;69
data,1304596191912,25;8485;69
data,1304596194417,25;7634;69
data,1304596197640,25;8492;69
data,1304596214214,25;2583;69
data,1304596215240,25;1111;69
data,1304596223989,25;3839;69
data,1304596226144,25;8522;69
data,1209592800000,25;2754;70
data,1209592800000,25;7410;70
data,1209592800000,25;3045;70
data,1209592800000,25;1586;70
data,1212271200000,25;1553;70
data,1214863200000,25;8567;70
data,1222812000000,25;7531;70
data,1228086000000,25;7438;70
data,1228086000000,25;2943;70
data,1275343200000,25;8457;71
data,1275343200000,25;2423;71
data,1277935200000,25;4370;71
data,1277935200000,25;3797;71
data,1277935200000,25;7257;71
data,1277935200000,25;2345;71
data,1277935200000,25;5263;71
data,1277935200000,25;875;71
data,1277935200000,25;8454;71
data,1280613600000,25;8677;71
data,1280613600000,25;6702;71
data,1280613600000,25;8689;71
data,1280613600000,25;4700;71
data,1285884000000,25;6249;71
data,1285884000000,25;3398;71
data,1285884000000,25;4015;71
data,1285884000000,25;8724;71
data,1285884000000,25;8728;71
data,1285884000000,25;8736;71
data,1285884000000,25;1101;71
data,1285884000000,25;2373;71
data,1285884000000,25;8757;71
data,1285884000000,25;5643;71
data,1285884000000,25;384;71
data,1285884000000,25;1634;71
data,1285884000000,25;3125;71
data,1285884000000,25;3149;71
data,1285884000000,25;7325;71
data,1285884000000,25;8796;72
data,1285884000000,25;8816;72
data,1285884000000,25;4549;72
data,1285884000000,25;8360;73
data,1285884000000,25;8838;73
data,1285884000000,25;398;73
data,1285884000000,25;1820;73
data,1288566000000,25;5617;73
data,1288566000000,25;8863;73
data,1288566000000,25;1009;73
data,1288566000000,25;4237;73
data,1288566000000,25;615;73
data,1288566000000,25;3695;73
data,1288566000000,25;6636;74
data,1288566000000,25;8816;74
data,1288566000000,25;2425;74
data,1291158000000,25;6470;74
data,1291158000000,25;7363;74
data,1291158000000,25;8920;74
data,1291158000000,25;3099;74
data,1291158000000,25;5720;74
data,1293836400000,25;5256;74
data,1293836400000,25;4023;74
data,1296514800000,25;5588;74
data,1296514800000,25;8974;74
data,1298934000000,25;8984;74
data,1304596239074,25;1220;74
data,1304596242695,25;7823;74
data,1304596260969,25;9000;74
data,1304596272248,25;9016;74
data,1304596273351,25;9018;74
data,1283292000000,25;4161;74
data,1283292000000,25;5762;74
data,1283292000000,25;7761;74
data,1283292000000,25;9046;74
data,1283292000000,25;9056;74
data,1291158000000,25;6208;74
data,1291158000000,25;9073;74
data,1291158000000,26;7743;74
data,1291158000000,26;6673;74
data,1291158000000,26;3265;74
data,1291158000000,26;9100;74
data,1293836400000,26;516;75
data,1293836400000,26;5470;76
data,1293836400000,26;5101;76
data,1296514800000,26;3687;76
data,1296514800000,26;4168;77
data,1296514800000,26;35;77
data,1296514800000,26;4135;77
data,1296514800000,26;9147;77
data,1296514800000,26;2789;77
data,1296514800000,26;875;77
data,1296514800000,26;8522;77
data,1296514800000,26;3103;78
data,1296514800000,26;9178;78
data,1296514800000,26;5450;78
data,1296514800000,26;5951;78
data,1296514800000,26;516;79
data,1296514800000,26;396;79
data,1296514800000,26;9012;79
data,1296514800000,26;9217;79
data,1296514800000,26;899;79
data,1296514800000,26;8517;79
data,1296514800000,26;7257;79
data,1296514800000,26;8435;80
data,1296514800000,26;3149;80
data,1296514800000,26;4690;80
data,1296514800000,26;3373;80
data,1296514800000,26;1397;80
data,1296514800000,26;5101;80
data,1296514800000,26;4704;80
data,1296514800000,26;9270;80
data,1296514800000,26;2056;80
data,1296514800000,26;3040;80
data,1296514800000,26;516;81
data,1296514800000,27;516;82
data,1296514800000,27;5398;82
data,1296514800000,27;5470;83
data,1296514800000,27;7579;83
data,1298934000000,27;8435;84
data,1298934000000,27;8567;84
data,1298934000000,27;8435;85
data,1298934000000,27;6999;86
data,1298934000000,27;9000;86
data,1298934000000,28;516;87
data,1298934000000,28;3103;88
data,1298934000000,28;1350;88
data,1298934000000,28;7735;88
data,1298934000000,28;9370;88
data,1298934000000,28;1565;88
data,1298934000000,28;8435;89
data,1298934000000,28;516;90
data,1298934000000,28;3127;91
data,1298934000000,28;516;92
data,1298934000000,28;245;93
data,1298934000000,28;2873;93
data,1298934000000,28;3127;94
data,1298934000000,28;8435;95
data,1298934000000,28;5358;95
data,1298934000000,29;3127;96
data,1298934000000,29;5224;97
