New Run at  07/14/2017 15:41:53
, Time, RandomReward; Master_LCBIntervalReward; 
data,1209592800000,7;2847;32
data,1209592800000,7;3320;32
data,1209592800000,7;3345;32
data,1209592800000,7;3359;32
data,1209592800000,7;3385;32
data,1209592800000,7;3396;32
data,1209592800000,7;3413;33
data,1209592800000,7;992;33
data,1209592800000,7;3453;34
data,1209592800000,8;3481;34
data,1209592800000,8;3500;34
data,1209592800000,8;3508;34
data,1209592800000,8;3520;34
data,1209592800000,8;2646;35
data,1209592800000,8;3562;35
data,1209592800000,8;3568;35
data,1209592800000,8;2076;35
data,1209592800000,8;1827;36
data,1212271200000,8;3615;37
data,1285884000000,8;3637;37
data,1291158000000,8;3652;37
data,1264978800000,8;3674;37
data,1264978800000,8;3687;37
data,1264978800000,8;3714;37
data,1264978800000,8;3723;37
data,1264978800000,8;3742;37
data,1264978800000,8;3768;37
data,1264978800000,8;496;37
data,1264978800000,8;885;37
data,1264978800000,8;2938;37
data,1264978800000,8;3840;37
data,1264978800000,8;3858;37
data,1264978800000,8;3868;37
data,1264978800000,8;3887;37
data,1264978800000,8;2362;37
data,1264978800000,8;3919;37
data,1264978800000,8;3481;37
data,1264978800000,8;3945;37
data,1264978800000,8;1798;37
data,1264978800000,8;1785;37
data,1264978800000,9;1572;38
data,1264978800000,9;4014;38
data,1264978800000,9;4037;38
data,1264978800000,9;4053;38
data,1264978800000,9;4073;38
data,1264978800000,9;323;39
data,1264978800000,9;4110;39
data,1264978800000,9;4119;40
data,1264978800000,9;4138;40
data,1264978800000,9;4152;40
data,1264978800000,9;4176;40
data,1264978800000,9;4199;40
data,1264978800000,9;3537;41
data,1264978800000,9;285;41
data,1264978800000,9;4258;41
data,1264978800000,9;4267;41
data,1264978800000,9;2742;41
data,1264978800000,9;4306;41
data,1264978800000,10;4320;41
data,1264978800000,10;3119;41
data,1264978800000,10;890;41
data,1264978800000,10;4371;41
data,1264978800000,10;3154;41
data,1264978800000,10;4392;41
data,1264978800000,10;2049;41
data,1264978800000,10;4424;41
data,1264978800000,10;4430;42
data,1264978800000,10;4443;43
data,1264978800000,10;4458;44
data,1264978800000,10;1284;44
data,1264978800000,10;4495;45
data,1264978800000,10;2828;46
data,1264978800000,10;4536;46
data,1264978800000,10;4545;47
data,1264978800000,10;3200;47
data,1264978800000,10;4586;47
data,1264978800000,10;4597;47
data,1264978800000,10;2286;47
data,1264978800000,10;4271;47
data,1264978800000,10;3797;47
data,1264978800000,10;4656;48
data,1264978800000,10;4679;48
data,1264978800000,11;4690;49
data,1264978800000,11;4715;49
data,1264978800000,11;1058;49
data,1264978800000,11;4742;49
data,1264978800000,11;4751;50
data,1264978800000,11;2241;51
data,1264978800000,11;4780;52
data,1264978800000,11;3822;52
data,1264978800000,11;4813;52
data,1264978800000,11;2317;52
data,1264978800000,11;4852;52
data,1264978800000,11;3377;52
data,1264978800000,11;4876;52
data,1264978800000,11;4891;52
data,1264978800000,11;4902;52
data,1264978800000,11;596;52
data,1264978800000,11;1236;53
data,1264978800000,11;614;53
data,1264978800000,11;4959;53
data,1264978800000,11;1695;53
data,1264978800000,11;105;53
data,1264978800000,11;5007;54
data,1264978800000,11;3124;54
data,1264978800000,11;2529;55
data,1264978800000,11;5054;55
data,1264978800000,11;5064;56
data,1264978800000,11;1688;56
data,1264978800000,11;3099;56
data,1264978800000,11;5114;56
data,1264978800000,11;5134;56
data,1264978800000,11;5146;56
data,1264978800000,11;5164;56
data,1264978800000,11;3148;56
data,1264978800000,11;1597;56
data,1264978800000,11;3747;56
data,1264978800000,11;2867;57
data,1264978800000,11;5245;57
data,1264978800000,11;5247;58
data,1264978800000,11;4456;58
data,1264978800000,11;916;58
data,1264978800000,11;310;58
data,1264978800000,11;5301;59
data,1264978800000,12;5314;59
data,1264978800000,12;2420;59
data,1264978800000,12;3484;59
data,1264978800000,12;5378;59
data,1264978800000,12;5386;59
data,1264978800000,12;5405;59
data,1264978800000,12;2789;60
data,1264978800000,12;3403;60
data,1264978800000,12;5450;60
data,1264978800000,12;5460;60
data,1264978800000,12;458;60
data,1264978800000,12;5487;61
data,1264978800000,12;2093;61
data,1264978800000,12;5526;61
data,1264978800000,12;5535;61
data,1264978800000,12;4023;61
data,1264978800000,12;2286;61
data,1264978800000,12;5571;62
data,1264978800000,12;5588;63
data,1264978800000,12;3045;64
data,1264978800000,12;5622;64
data,1264978800000,12;5642;64
data,1264978800000,12;5656;64
data,1264978800000,12;5661;64
data,1264978800000,13;5673;64
data,1264978800000,13;5105;64
data,1264978800000,13;5689;65
data,1264978800000,13;2646;66
data,1264978800000,13;5720;66
data,1264978800000,13;5732;66
data,1264978800000,13;5752;66
data,1264978800000,13;5763;66
data,1267398000000,13;5769;67
data,1267398000000,13;5256;67
data,1267398000000,13;327;67
data,1267398000000,13;5810;67
data,1267398000000,13;11;68
data,1267398000000,13;593;68
data,1267398000000,13;4461;68
data,1267398000000,13;5856;68
data,1267398000000,13;4972;69
data,1267398000000,13;5879;69
data,1267398000000,13;5897;69
data,1267398000000,13;5913;69
data,1270072800000,13;5915;70
data,1270072800000,13;1657;70
data,1272664800000,13;5946;70
data,1272664800000,13;3045;71
data,1272664800000,13;3963;71
data,1272664800000,13;3698;71
data,1272664800000,13;548;71
data,1272664800000,13;6023;71
data,1272664800000,13;4887;71
data,1272664800000,13;154;71
data,1272664800000,13;1062;71
data,1272664800000,14;6077;71
data,1272664800000,14;6093;71
data,1272664800000,14;125;71
data,1272664800000,14;6119;71
data,1272664800000,14;6131;71
data,1272664800000,14;6137;71
data,1272664800000,14;3872;71
data,1272664800000,14;24;71
data,1272664800000,14;5792;71
data,1272664800000,14;6188;71
data,1272664800000,14;6208;71
data,1272664800000,14;997;71
data,1272664800000,14;5256;71
data,1272664800000,14;6246;71
data,1272664800000,14;1710;71
data,1272664800000,14;1317;71
data,1272664800000,14;6285;71
data,1272664800000,14;1704;72
data,1272664800000,14;5067;72
data,1272664800000,14;1083;73
data,1272664800000,14;6323;74
data,1275343200000,14;596;74
data,1275343200000,14;6359;74
data,1277935200000,14;3831;74
data,1277935200000,14;3810;74
data,1280613600000,14;6403;74
data,1280613600000,14;1474;74
data,1280613600000,14;6422;75
data,1280613600000,14;4715;75
data,1280613600000,15;4138;75
data,1280613600000,15;4876;75
data,1280613600000,15;6478;75
data,1280613600000,15;6482;76
data,1280613600000,15;5055;76
data,1280613600000,15;6511;76
data,1280613600000,15;2120;77
data,1280613600000,15;6537;77
data,1280613600000,15;5450;77
data,1280613600000,15;6561;78
data,1283292000000,15;3312;78
data,1285884000000,15;4887;78
data,1285884000000,15;6604;78
data,1285884000000,15;6615;79
data,1285884000000,15;6625;80
data,1285884000000,15;6636;81
data,1285884000000,15;1836;82
data,1285884000000,15;6656;83
data,1285884000000,15;6673;83
data,1285884000000,15;2716;83
data,1285884000000,16;2147;83
data,1285884000000,16;3475;83
data,1285884000000,16;6714;84
data,1285884000000,16;918;84
data,1285884000000,16;6736;84
data,1285884000000,16;6743;84
data,1285884000000,16;541;85
data,1288566000000,16;869;85
data,1288566000000,16;6777;86
data,1288566000000,16;6790;86
data,1288566000000,16;1499;86
data,1288566000000,16;6814;86
data,1288566000000,16;6837;86
data,1288566000000,16;2358;86
data,1288566000000,16;2681;87
data,1291158000000,16;3818;87
data,1291158000000,16;2251;87
data,1291158000000,16;6887;88
data,1291158000000,16;6907;88
data,1291158000000,16;5068;88
data,1291158000000,16;6929;88
data,1291158000000,16;2953;88
data,1291158000000,16;6950;88
data,1291158000000,16;2377;88
data,1291158000000,16;4190;88
data,1291158000000,16;3231;89
data,1291158000000,16;6996;90
data,1291158000000,16;2737;91
data,1291158000000,16;7026;91
data,1291158000000,16;371;91
data,1291158000000,16;7057;91
data,1291158000000,16;7058;92
data,1291158000000,16;3373;92
data,1291158000000,16;2355;93
data,1291158000000,16;3899;93
data,1291158000000,16;7111;94
data,1293836400000,16;7127;94
data,1293836400000,16;7144;94
data,1293836400000,16;7155;94
data,1293836400000,16;7160;95
data,1293836400000,16;7111;96
data,1293836400000,16;7183;96
data,1293836400000,16;7196;96
data,1293836400000,16;327;96
data,1293836400000,16;7211;97
data,1293836400000,16;3860;97
data,1293836400000,16;2706;97
data,1293836400000,16;7246;98
data,1293836400000,16;7260;98
data,1293836400000,16;3144;99
data,1293836400000,16;7278;99
data,1293836400000,16;1901;99
data,1293836400000,16;2380;99
data,1293836400000,16;1322;99
data,1293836400000,16;5048;99
data,1296514800000,16;899;99
data,1296514800000,16;7327;100
data,1298934000000,16;3438;100
data,1298934000000,16;7350;100
data,1298934000000,16;3860;100
data,1298934000000,16;7378;100
data,1304596135526,16;3523;100
data,1212271200000,16;4896;100
data,1212271200000,16;7410;100
data,1212271200000,16;7426;100
data,1212271200000,16;6595;100
data,1212271200000,16;7441;100
data,1212271200000,16;7460;100
data,1212271200000,16;7466;100
data,1212271200000,16;7472;101
data,1212271200000,16;1437;101
data,1212271200000,16;7495;102
data,1212271200000,16;4551;103
data,1212271200000,17;7515;103
data,1212271200000,18;7140;104
data,1212271200000,18;4165;105
data,1212271200000,18;2763;106
data,1212271200000,18;7544;106
data,1212271200000,18;7556;106
data,1212271200000,18;7566;107
data,1212271200000,18;5192;108
data,1212271200000,18;5851;108
data,1212271200000,19;1639;109
data,1212271200000,19;7605;110
data,1212271200000,19;1020;111
data,1212271200000,19;7624;112
data,1212271200000,19;7643;112
data,1212271200000,19;3442;113
data,1212271200000,19;4207;113
data,1212271200000,19;6242;113
data,1212271200000,19;6772;113
data,1212271200000,19;7677;114
data,1212271200000,19;4497;115
data,1212271200000,19;5358;115
data,1212271200000,19;2927;116
data,1212271200000,19;6667;117
data,1212271200000,19;7716;118
data,1212271200000,19;322;119
data,1212271200000,19;7735;120
data,1212271200000,19;6232;120
data,1212271200000,19;7754;121
data,1212271200000,19;2362;121
data,1212271200000,19;7775;122
data,1212271200000,19;5930;123
data,1212271200000,19;2266;124
data,1212271200000,19;5490;125
data,1212271200000,19;2991;125
data,1212271200000,19;5795;126
data,1212271200000,19;6467;126
data,1214863200000,20;7848;126
data,1214863200000,20;1302;127
data,1214863200000,20;7168;127
data,1214863200000,20;3335;127
data,1214863200000,20;7883;127
data,1217541600000,20;7892;127
data,1217541600000,20;2159;127
data,1217541600000,21;3179;127
data,1217541600000,21;1265;128
data,1217541600000,21;7037;128
data,1217541600000,21;2644;128
data,1217541600000,21;4451;128
data,1217541600000,21;6922;129
data,1217541600000,21;7963;130
data,1217541600000,21;7975;130
data,1217541600000,21;4568;130
data,1217541600000,21;422;130
data,1217541600000,21;6400;130
data,1217541600000,21;8011;131
data,1217541600000,21;4630;131
data,1217541600000,21;96;131
data,1217541600000,21;8042;131
data,1217541600000,21;8063;131
data,1217541600000,21;5622;131
data,1217541600000,22;3955;131
data,1217541600000,22;8081;131
data,1217541600000,22;8091;131
data,1217541600000,22;4502;131
data,1217541600000,22;7093;131
data,1217541600000,22;8110;131
data,1217541600000,22;181;131
data,1217541600000,22;8136;131
data,1217541600000,22;8139;131
data,1217541600000,22;8156;131
data,1217541600000,22;8041;131
data,1217541600000,22;1056;132
data,1217541600000,22;4532;133
data,1217541600000,22;1601;133
data,1217541600000,22;6647;133
data,1217541600000,22;3151;133
data,1217541600000,22;8211;133
data,1217541600000,22;7883;133
data,1217541600000,22;8230;133
data,1217541600000,22;1437;133
data,1217541600000,22;3285;133
data,1217541600000,22;8256;133
data,1217541600000,22;8264;133
data,1217541600000,22;8274;133
data,1217541600000,22;8287;133
data,1217541600000,22;6111;133
data,1217541600000,22;5718;133
data,1217541600000,22;8316;133
data,1217541600000,22;8324;133
data,1217541600000,22;8340;133
data,1217541600000,22;8355;133
data,1217541600000,23;8370;133
data,1217541600000,23;8375;133
data,1217541600000,23;4585;133
data,1217541600000,23;6732;133
data,1217541600000,24;8407;133
data,1217541600000,24;8416;133
data,1217541600000,24;8418;133
data,1217541600000,24;8431;133
data,1217541600000,24;8435;134
data,1220220000000,24;4361;134
data,1304596176284,24;6109;134
data,1304596177553,24;8466;134
data,1304596187726,24;8475;134
data,1304596191912,24;3566;134
data,1304596194417,24;2507;134
data,1304596197640,25;8491;134
data,1304596214214,25;8502;134
data,1304596215240,25;5800;134
data,1304596223989,25;8517;134
data,1304596226144,25;8522;134
data,1209592800000,25;7801;134
data,1209592800000,25;661;135
data,1209592800000,25;8550;135
data,1209592800000,25;7950;135
data,1212271200000,25;7777;135
data,1214863200000,25;3842;136
data,1222812000000,25;8572;136
data,1228086000000,25;7438;136
data,1228086000000,25;8592;136
data,1275343200000,25;8597;136
data,1275343200000,25;8606;136
data,1277935200000,25;8612;136
data,1277935200000,25;8460;136
data,1277935200000,25;8633;136
data,1277935200000,25;8640;136
data,1277935200000,25;8653;136
data,1277935200000,25;945;136
data,1277935200000,25;8665;136
data,1280613600000,25;1936;136
data,1280613600000,25;1228;136
data,1280613600000,25;8687;136
data,1280613600000,25;1052;136
data,1285884000000,25;8086;136
data,1285884000000,25;3398;136
data,1285884000000,25;4015;136
data,1285884000000,25;989;136
data,1285884000000,25;4630;136
data,1285884000000,25;3887;136
data,1285884000000,25;8438;136
data,1285884000000,25;6979;136
data,1285884000000,25;8530;136
data,1285884000000,25;3764;136
data,1285884000000,25;6797;136
data,1285884000000,25;2480;136
data,1285884000000,25;4436;136
data,1285884000000,25;5289;136
data,1285884000000,25;7325;136
data,1285884000000,25;8518;136
data,1285884000000,26;8815;136
data,1285884000000,26;7343;136
data,1285884000000,26;7300;136
data,1285884000000,26;8838;136
data,1285884000000,26;398;136
data,1285884000000,26;1820;136
data,1288566000000,27;7164;136
data,1288566000000,27;3860;136
data,1288566000000,27;1635;136
data,1288566000000,27;4237;136
data,1288566000000,27;2022;136
data,1288566000000,27;8880;136
data,1288566000000,27;8887;136
data,1288566000000,27;3503;136
data,1288566000000,28;7483;136
data,1291158000000,28;6819;136
data,1291158000000,28;8550;136
data,1291158000000,28;8917;136
data,1291158000000,28;8931;136
data,1291158000000,28;8739;136
data,1293836400000,28;8952;136
data,1293836400000,28;5289;136
data,1296514800000,28;3774;136
data,1296514800000,28;5786;137
data,1298934000000,28;8984;137
data,1304596239074,28;3714;137
data,1304596242695,28;7742;137
data,1304596260969,28;6168;137
data,1304596272248,28;9015;137
data,1304596273351,28;5876;137
data,1283292000000,28;1390;137
data,1283292000000,28;4705;137
data,1283292000000,28;3106;137
data,1283292000000,28;9046;137
data,1283292000000,28;863;137
data,1291158000000,28;9061;137
data,1291158000000,28;9077;137
data,1291158000000,28;1907;137
data,1291158000000,28;777;137
data,1291158000000,28;9097;137
data,1291158000000,28;9103;137
data,1293836400000,28;516;138
data,1293836400000,28;5470;139
data,1293836400000,28;516;140
data,1296514800000,28;5718;141
data,1296514800000,28;4168;142
data,1296514800000,28;245;143
data,1296514800000,28;5781;143
data,1296514800000,28;5470;144
data,1296514800000,28;8435;145
data,1296514800000,28;4958;146
data,1296514800000,28;8435;147
data,1296514800000,29;3103;148
data,1296514800000,29;721;148
data,1296514800000,29;8045;148
data,1296514800000,29;9190;148
data,1296514800000,29;516;149
data,1296514800000,29;1016;150
data,1296514800000,29;9180;151
data,1296514800000,29;5834;151
data,1296514800000,29;899;151
data,1296514800000,29;8517;151
data,1296514800000,29;131;152
data,1296514800000,29;8435;153
data,1296514800000,29;6513;153
data,1296514800000,29;4483;153
data,1296514800000,30;7735;153
data,1296514800000,30;1474;153
data,1296514800000,30;5101;153
data,1296514800000,30;4958;154
data,1296514800000,30;5625;154
data,1296514800000,30;131;155
data,1296514800000,30;9284;155
data,1296514800000,30;516;156
data,1296514800000,30;516;157
data,1296514800000,30;245;158
data,1296514800000,31;5470;159
data,1296514800000,31;4212;159
data,1298934000000,31;8435;160
data,1298934000000,31;8567;160
data,1298934000000,31;8435;161
data,1298934000000,31;1706;161
data,1298934000000,31;3127;162
data,1298934000000,31;516;163
data,1298934000000,31;2927;163
data,1298934000000,31;5851;164
data,1298934000000,31;7735;164
data,1298934000000,31;9048;164
data,1298934000000,31;1565;164
data,1298934000000,31;8435;165
data,1298934000000,31;516;166
data,1298934000000,31;3127;167
data,1298934000000,31;516;168
data,1298934000000,31;245;169
data,1298934000000,31;5224;170
data,1298934000000,31;3127;171
data,1298934000000,31;8435;172
data,1298934000000,31;5358;172
data,1298934000000,31;3127;173
data,1298934000000,31;5224;174
data,1298934000000,31;516;175
data,1298934000000,31;1016;176
data,1298934000000,31;3127;177
data,1298934000000,31;989;177
data,1298934000000,31;1018;177
data,1298934000000,31;9485;177
data,1298934000000,31;8435;178
data,1298934000000,31;4958;179
data,1298934000000,31;8435;180
data,1298934000000,31;3578;180
data,1298934000000,31;8880;180
data,1298934000000,31;3489;180
data,1298934000000,31;4681;180
data,1298934000000,31;9367;181
data,1298934000000,31;3127;182
data,1298934000000,31;8435;183
data,1298934000000,31;2349;183
data,1298934000000,32;245;184
data,1298934000000,32;245;185
data,1298934000000,32;2491;185
data,1298934000000,32;5718;186
data,1298934000000,32;3127;187
data,1298934000000,32;9367;188
data,1298934000000,32;516;189
data,1298934000000,32;516;190
data,1298934000000,32;9082;191
data,1298934000000,32;8435;192
data,1298934000000,32;1016;193
data,1298934000000,32;7197;194
data,1298934000000,32;2731;194
data,1304596429856,32;84;194
data,1304596429049,32;3688;194
data,1304596429840,32;5048;194
data,1304596429340,32;7430;195
data,1304596429357,32;9653;196
data,1304596429273,32;4108;196
data,1304596429090,32;6999;197
data,1304596429027,32;2111;198
data,1304596429182,32;9673;198
data,1304596429124,32;2049;198
data,1304596429232,32;7848;198
data,1304596429074,32;3014;198
data,1304596429107,32;3742;198
data,1304596432786,32;9653;199
data,1304596432553,32;6912;199
data,1304596432678,32;7366;199
data,1304596432586,32;5839;199
data,1304596432770,32;7430;200
data,1304596432803,32;9732;200
data,1304596432645,32;168;201
data,1304596432537,32;3275;202
data,1304596432517,32;2111;203
data,1304596432720,32;6702;204
data,1304596433427,32;6999;205
data,1304596433585,32;9367;206
data,1304596433519,32;9771;206
data,1304596433535,32;516;207
data,1304596433444,32;1843;207
data,1304596433477,32;5470;208
data,1304596433552,32;6702;209
data,1304596433461,32;5224;210
data,1304596433410,32;2111;211
data,1304596433569,32;5718;212
data,1304596433610,32;8435;213
data,1304596433502,32;3127;214
data,1304596433627,32;7775;214
data,1304596435600,32;6456;214
data,1304596435733,32;9837;214
data,1304596435617,32;9842;214
data,1304596435533,32;1744;214
data,1304596435658,32;6702;215
data,1304596435708,32;7430;216
data,1304596435492,32;3275;217
data,1304596436275,32;1350;217
data,1304596437731,32;4497;217
data,1304596437839,32;5358;217
data,1304596437806,32;5470;218
data,1304596437709,33;2111;219
data,1304596437773,33;4215;219
data,1304596437914,33;9905;219
data,1304596437823,33;2855;220
data,1304596438039,33;6702;221
data,1304596438097,33;9653;222
data,1304596438988,34;2111;223
data,1304596439121,34;7430;224
data,1304596439063,34;6702;225
data,1304596439030,34;6582;225
data,1304596439706,34;6702;226
data,1304596439046,34;4320;226
data,1304596439154,34;1562;226
data,1304596440312,35;2111;227
data,1304596440328,35;6702;228
data,1304596441769,35;7430;229
data,1304596441785,35;9966;229
data,1304596441752,36;6675;229
data,1304596443491,37;3127;230
data,1304596443467,37;5224;231
data,1304596443433,37;6702;232
data,1304596443398,37;2111;233
data,1304596443450,37;6402;233
data,1304596443416,37;4857;233
data,1304596443508,37;9653;234
data,1304596444469,37;7397;234
data,1304596444499,37;1241;234
data,1304596444482,38;7197;235
data,1304596445832,38;8435;236
data,1304596445848,38;7430;237
data,1304596445790,38;6568;237
data,1304596447147,38;3103;238
data,1304596447130,38;2111;239
data,1304596447971,38;6999;240
data,1304596447107,39;2855;241
data,1304596447938,39;9485;241
data,1304596447197,39;6702;242
data,1304596447954,39;3103;243
data,1304596447988,39;1016;244
data,1304596447288,39;9653;245
data,1304596447164,39;7197;246
data,1304596448138,39;7430;247
data,1304596448046,39;1101;247
data,1304596448154,39;8375;247
data,1304596448096,39;10107;247
data,1304596448063,39;3127;248
data,1304596448121,39;9367;249
data,1304596448029,39;5224;250
data,1304596448079,39;914;250
data,1304596448712,39;3275;251
data,1304596448013,39;245;252
data,1304596449570,40;3103;253
data,1304596449669,41;9653;254
data,1304596449636,41;7430;255
data,1304596450735,41;3095;255
data,1304596450723,41;3103;256
data,1304596450851,41;4327;256
data,1304596450835,41;8435;257
data,1304596450793,41;10177;257
data,1304596450244,41;3127;258
data,1304596450818,41;131;259
data,1304596450190,41;516;260
data,1304596450210,41;8435;261
data,1304596451393,41;1350;261
data,1304596453865,41;1016;262
data,1304596453832,41;6999;263
data,1304596453940,41;5536;263
data,1304596453973,41;7197;264
data,1304596453898,41;4313;264
data,1304596453815,41;5408;264
data,1304596453956,41;2855;265
data,1304596454023,41;6702;266
data,1304596454006,41;9141;266
data,1304596454065,41;6724;266
data,1304596455056,41;6999;267
data,1304596455088,41;6702;268
data,1304596455030,41;7197;269
data,1304596455014,41;9180;270
data,1304596455986,41;2111;271
data,1304596455072,41;6670;272
data,1304596455163,41;971;272
data,1304596456096,41;9802;272
data,1304596456112,41;9653;273
data,1304596456021,41;9802;273
data,1304596456079,41;7430;274
data,1304596458131,41;2111;275
data,1304596458194,41;3095;275
data,1304596458378,41;7197;276
data,1304596458393,41;6702;277
data,1304596458486,41;7430;278
data,1304596459127,41;6702;279
data,1304596459192,41;7430;280
data,1304596459079,41;2111;281
data,1304596459101,41;7160;281
data,1304596459209,41;9653;282
data,1304596459176,41;7205;282
data,1304596460233,41;4453;282
data,1304596460325,41;8788;282
data,1304596460341,41;566;282
data,1304596460217,41;5470;283
data,1304596460266,41;2855;284
data,1304596460283,41;7197;285
data,1304596460400,41;3868;285
data,1304596460125,41;9180;286
data,1304596460175,41;1168;286
data,1304596461199,41;7775;286
data,1304596461090,41;8820;286
data,1304596461215,41;6907;286
data,1304596461057,41;3103;287
data,1304596461182,41;8435;288
data,1304596461041,41;2111;289
data,1304596461787,41;6702;290
data,1304596461074,41;9180;291
data,1304596462417,41;2111;292
data,1304596462581,41;9653;293
data,1304596462547,41;7430;294
data,1304596462481,41;6702;295
data,1304596463257,41;10414;295
data,1304596463289,41;9653;296
data,1304596463272,41;5470;297
data,1304596463231,41;4915;297
data,1304596463164,41;76;297
data,1304596463198,41;6702;298
data,1304596463142,41;2111;299
data,1304596464697,41;1016;300
data,1304596465653,41;3127;301
data,1304596465575,41;2111;302
data,1304596467368,41;516;303
data,1304596467476,42;5856;303
data,1304596467385,42;10460;303
data,1304596467460,42;9490;303
data,1304596467351,42;7197;304
data,1304596468367,42;8503;304
data,1304596468307,42;9180;305
data,1304596468384,42;8665;305
data,1304596471272,42;3127;306
data,1304596471197,42;2111;307
data,1304596471214,42;6702;308
data,1304596471289,42;9653;309
data,1304596471231,42;8435;310
data,1304596471257,42;8502;310
data,1304596472879,42;6702;311
data,1304596472813,42;2111;312
data,1304596472970,42;7430;313
data,1304596472912,42;10516;313
data,1304596473004,42;9653;314
data,1304596474266,42;7566;314
data,1304596474361,42;9653;315
data,1304596475325,42;2111;316
data,1304596475451,42;7430;317
data,1304596475484,42;9653;318
data,1304596475368,42;6702;319
data,1304596476492,42;131;320
data,1304596476575,42;7430;321
data,1304596476425,42;6258;321
