New Run at  10/31/2017 20:28:11
, Time, RandomReward; UniformAdTSReward, ClusterID;UserID;UniformAdTSModelUsed,
data,1285884000000,10;5380;72,14;87
data,1285884000000,10;5386;72,14;87
data,1285884000000,10;5406;72,14;87
data,1285884000000,10;5415;72,14;87
data,1285884000000,10;5438;72,14;87
data,1285884000000,10;5447;72,14;87
data,1285884000000,10;5459;73,14;87
data,1285884000000,10;2196;73,14;87
data,1285884000000,10;3373;73,14;87
data,1285884000000,10;4439;73,14;87
data,1285884000000,10;5518;74,14;87
data,1285884000000,11;4479;75,14;87
data,1285884000000,11;3580;76,14;87
data,1285884000000,11;5553;77,14;87
data,1285884000000,12;5566;78,14;87
data,1285884000000,12;2598;78,14;87
data,1285884000000,12;5596;78,14;87
data,1285884000000,12;5605;79,14;87
data,1285884000000,12;4467;79,14;87
data,1285884000000,12;5638;80,14;87
data,1285884000000,12;5656;81,14;87
data,1285884000000,12;5649;81,14;87
data,1285884000000,12;5683;82,14;87
data,1285884000000,12;5701;83,14;87
data,1285884000000,12;1412;83,14;87
data,1285884000000,12;4681;83,14;87
data,1285884000000,12;4123;83,14;87
data,1285884000000,12;3738;83,14;87
data,1285884000000,12;5782;83,14;87
data,1285884000000,12;5796;83,14;87
data,1285884000000,12;5798;84,14;87
data,1285884000000,12;4903;84,14;87
data,1285884000000,13;5839;84,14;87
data,1285884000000,13;5854;84,14;87
data,1285884000000,13;2539;84,14;87
data,1285884000000,13;5873;84,14;87
data,1285884000000,13;5878;85,14;87
data,1285884000000,13;5892;86,14;87
data,1285884000000,13;5910;87,14;87
data,1285884000000,13;5931;87,14;87
data,1285884000000,13;5942;87,14;87
data,1285884000000,13;5954;88,14;87
data,1285884000000,13;259;88,14;87
data,1285884000000,13;4117;89,14;87
data,1285884000000,13;6007;89,14;87
data,1285884000000,13;6009;90,14;87
data,1285884000000,13;6039;90,14;87
data,1285884000000,13;2856;91,14;87
data,1285884000000,13;3373;91,14;87
data,1285884000000,13;6067;92,14;87
data,1285884000000,13;2368;93,14;87
data,1285884000000,13;6096;94,14;87
data,1285884000000,13;234;94,14;87
data,1285884000000,13;6121;94,14;87
data,1285884000000,13;6130;95,14;87
data,1285884000000,13;1481;95,14;87
data,1285884000000,13;3725;95,14;87
data,1285884000000,13;6168;96,14;87
data,1285884000000,13;1819;97,14;87
data,1285884000000,13;6210;97,14;87
data,1285884000000,13;6218;97,14;87
data,1285884000000,13;2609;98,14;87
data,1288566000000,13;6248;98,14;87
data,1288566000000,13;6262;98,14;87
data,1288566000000,13;4000;98,14;87
data,1288566000000,13;6295;98,14;87
data,1288566000000,13;6301;98,14;87
data,1288566000000,13;2588;99,14;87
data,1288566000000,13;5187;99,14;87
data,1288566000000,13;161;99,14;87
data,1288566000000,13;6357;100,14;87
data,1288566000000,13;6371;100,14;87
data,1288566000000,14;5362;100,14;87
data,1288566000000,15;2816;101,14;87
data,1288566000000,15;6411;101,14;87
data,1288566000000,15;6423;102,14;87
data,1288566000000,15;6444;102,14;87
data,1288566000000,16;753;103,14;87
