New Run at  11/01/2017 01:11:48
, Time, RandomReward; CLUBReward, ClusterID;UserID;CLUBModelUsed,
data,1288566000000,27;7504;162,87;87
data,1288566000000,27;7506;163,87;87
data,1288566000000,27;7515;164,87;87
data,1288566000000,27;2817;164,87;87
data,1288566000000,27;7536;164,87;87
data,1288566000000,27;6365;164,87;87
data,1288566000000,27;7550;165,87;87
data,1288566000000,27;876;165,87;87
data,1288566000000,27;7574;166,87;87
data,1288566000000,27;7591;166,87;87
data,1288566000000,27;7598;167,87;87
data,1288566000000,27;4715;167,87;87
data,1291158000000,27;7618;168,87;87
data,1291158000000,27;6728;169,87;87
data,1291158000000,27;7639;169,87;87
data,1291158000000,27;1533;169,87;87
data,1291158000000,27;7664;169,87;87
data,1291158000000,28;6837;170,87;87
data,1291158000000,28;1712;171,87;87
data,1291158000000,28;4674;172,87;87
data,1291158000000,28;7699;173,87;87
data,1291158000000,28;7715;173,87;87
data,1291158000000,28;7730;173,87;87
data,1291158000000,28;5066;173,87;87
data,1291158000000,28;3780;173,87;87
data,1291158000000,28;6725;173,87;87
data,1291158000000,28;1332;174,87;87
data,1291158000000,28;7777;175,87;87
data,1291158000000,29;6171;175,87;87
data,1291158000000,29;200;176,87;87
data,1291158000000,29;3431;176,87;87
data,1291158000000,29;3746;177,87;87
data,1291158000000,29;3834;178,87;87
data,1291158000000,29;7830;179,87;87
data,1291158000000,30;7840;180,87;87
data,1291158000000,30;7863;180,87;87
data,1291158000000,30;7877;180,87;87
data,1291158000000,30;7879;180,87;87
data,1291158000000,30;7888;180,87;87
data,1293836400000,31;5380;180,87;87
data,1293836400000,31;7909;180,87;87
data,1293836400000,31;7916;181,87;87
data,1293836400000,31;7927;181,87;87
data,1293836400000,31;7937;181,87;87
data,1293836400000,31;5573;181,87;87
data,1293836400000,31;7958;181,87;87
data,1293836400000,31;4753;182,87;87
data,1298934000000,31;495;182,87;87
data,1298934000000,31;1346;182,87;87
data,1298934000000,31;7987;183,87;87
data,1298934000000,31;3077;183,87;87
data,1298934000000,31;3834;184,87;87
data,1298934000000,31;8017;185,87;87
data,1304685894582,31;4399;185,87;87
data,1304685894554,31;3250;185,87;87
data,1304685901631,31;4613;185,87;87
data,1304685901600,32;8045;185,87;87
data,1304685903263,32;8052;186,87;87
data,1304685903276,32;3140;186,87;87
data,1304685907430,32;8065;187,87;87
data,1285884000000,32;8083;187,91;91
data,1285884000000,32;264;187,91;91
data,1285884000000,32;2803;187,91;91
data,1285884000000,32;8107;187,91;91
data,1285884000000,32;8113;187,91;91
data,1249077600000,32;8126;187,157;157
data,1249077600000,32;7900;187,157;157
data,1249077600000,32;8136;187,157;157
data,1249077600000,32;2881;187,157;157
data,1249077600000,32;5763;187,157;157
data,1249077600000,32;8165;187,157;157
data,1249077600000,32;6314;187,157;157
data,1249077600000,32;2515;187,157;157
data,1249077600000,32;2596;187,157;157
data,1249077600000,32;6273;187,157;157
data,1249077600000,32;8206;187,157;157
data,1249077600000,32;7072;187,157;157
data,1249077600000,32;8218;187,157;157
data,1249077600000,32;6614;187,157;157
data,1249077600000,32;3226;187,157;157
data,1249077600000,32;4574;187,157;157
data,1249077600000,33;8252;187,157;157
data,1249077600000,33;6486;187,157;157
data,1249077600000,33;8266;187,157;157
data,1249077600000,33;8275;187,157;157
data,1249077600000,33;6635;187,157;157
data,1249077600000,33;8295;187,157;157
data,1249077600000,33;8301;187,157;157
data,1249077600000,33;8308;187,157;157
data,1249077600000,34;3088;187,157;157
data,1249077600000,34;7345;187,157;157
data,1249077600000,34;4109;187,157;157
data,1249077600000,34;603;187,157;157
data,1249077600000,34;8361;187,157;157
data,1249077600000,34;8364;187,157;157
data,1249077600000,34;2989;188,157;157
data,1249077600000,34;8380;189,157;157
data,1249077600000,34;7024;189,157;157
data,1249077600000,34;894;190,157;157
data,1249077600000,34;6007;191,157;157
data,1228086000000,34;8410;191,166;166
data,1228086000000,35;3215;191,166;166
data,1228086000000,35;5961;191,166;166
data,1228086000000,36;8436;191,166;166
data,1228086000000,36;6586;191,166;166
data,1228086000000,36;5724;191,166;166
data,1228086000000,36;5668;191,166;166
data,1228086000000,36;8465;191,166;166
data,1228086000000,36;8473;191,166;166
data,1228086000000,36;8484;191,166;166
data,1228086000000,36;8488;191,166;166
data,1228086000000,36;1306;191,166;166
data,1228086000000,36;7338;191,166;166
data,1228086000000,36;8509;191,166;166
data,1228086000000,36;820;191,166;166
data,1228086000000,36;8201;192,166;166
data,1228086000000,36;776;193,166;166
data,1228086000000,36;8319;193,166;166
data,1228086000000,36;1354;193,166;166
data,1228086000000,36;3041;194,166;166
data,1228086000000,36;8556;195,166;166
data,1230764400000,36;2148;195,166;166
data,1238536800000,36;6788;195,166;166
data,1238536800000,36;3834;196,166;166
data,1280613600000,36;8591;196,166;166
data,1280613600000,36;8258;196,166;166
data,1280613600000,36;7750;196,166;166
data,1280613600000,36;1263;196,166;166
data,1280613600000,36;2467;196,166;166
data,1280613600000,36;8623;196,166;166
data,1280613600000,36;1781;196,166;166
data,1280613600000,36;6570;196,166;166
data,1280613600000,36;8647;196,166;166
data,1277935200000,36;8649;196,286;286
data,1275343200000,36;4159;196,654;654
data,1275343200000,36;1396;196,654;654
data,1275343200000,36;3536;196,654;654
data,1251756000000,36;4177;196,923;923
data,1251756000000,36;4079;196,923;923
data,1251756000000,36;3708;196,923;923
data,1251756000000,36;8706;196,923;923
data,1251756000000,36;3633;196,923;923
data,1251756000000,36;5955;196,923;923
data,1251756000000,36;8726;196,923;923
data,1251756000000,36;8732;196,923;923
data,1251756000000,36;5508;196,923;923
data,1251756000000,36;8743;196,923;923
data,1251756000000,36;8755;196,923;923
data,1251756000000,36;5529;196,923;923
data,1251756000000,36;6380;196,923;923
data,1251756000000,36;8777;196,923;923
data,1251756000000,36;5595;196,923;923
data,1251756000000,36;8795;196,923;923
data,1251756000000,36;5707;196,923;923
data,1251756000000,36;7078;196,923;923
data,1251756000000,36;5343;196,923;923
data,1251756000000,36;4542;196,923;923
data,1251756000000,36;8834;196,923;923
data,1251756000000,36;8841;196,923;923
data,1251756000000,36;4990;196,923;923
data,1251756000000,36;5883;196,923;923
data,1251756000000,36;8855;196,923;923
data,1251756000000,36;6638;196,923;923
data,1251756000000,36;8876;196,923;923
data,1251756000000,36;2582;196,923;923
data,1254348000000,36;8887;196,923;923
data,1254348000000,36;6526;196,923;923
data,1254348000000,36;6331;196,923;923
data,1254348000000,36;6428;196,923;923
data,1254348000000,36;8919;196,923;923
data,1254348000000,36;2604;196,923;923
data,1254348000000,36;1992;196,923;923
data,1254348000000,36;1572;196,923;923
data,1254348000000,36;2422;196,923;923
data,1254348000000,36;8967;196,923;923
data,1254348000000,36;8969;196,923;923
data,1254348000000,36;8981;196,923;923
data,1254348000000,36;2329;196,923;923
data,1254348000000,36;2743;196,923;923
data,1254348000000,36;9002;196,923;923
data,1254348000000,36;9007;196,923;923
data,1254348000000,36;169;196,923;923
data,1254348000000,37;7872;196,923;923
data,1254348000000,37;6314;196,923;923
